timestamp,level,cmdb_id,failure_type
1651858208,service,productcatalogservice,k8s容器网络资源包损坏
1651859583,pod,frontend-2,k8s容器写io负载
1651860249,node,node-2,node 磁盘空间消耗
1651863211,service,emailservice,k8s容器网络丢包
1651863857,node,node-6,node 磁盘写IO消耗
1651867434,node,node-5,node 磁盘空间消耗
1651872135,node,node-5,node 内存消耗
1651875390,node,node-1,node 磁盘空间消耗
1651876445,service,frontend,k8s容器读io负载
1651877333,pod,currencyservice-0,k8s容器cpu负载
1651881306,service,frontend,k8s容器网络资源包重复发送
1651885258,node,node-6,node 磁盘空间消耗
1651889566,service,recommendationservice,k8s容器内存负载
1651891523,service,recommendationservice,k8s容器写io负载
1651891895,node,node-4,node节点CPU爬升
1651896807,node,node-6,node 磁盘读IO消耗
1651897275,service,currencyservice,k8s容器内存负载
1651899367,pod,recommendationservice-1,k8s容器cpu负载
1651900839,node,node-5,node 内存消耗
1651903067,service,checkoutservice,k8s容器网络资源包重复发送
1651904204,node,node-3,node节点CPU爬升
1651906320,service,recommendationservice,k8s容器读io负载
1651908253,service,adservice,k8s容器内存负载
1651909424,service,adservice,k8s容器读io负载
1651910133,service,frontend,k8s容器网络丢包
1651911478,service,paymentservice,k8s容器网络丢包
1651913210,node,node-6,node 磁盘读IO消耗
1651914144,pod,productcatalogservice-1,k8s容器网络资源包重复发送
1651915992,service,adservice,k8s容器内存负载
1651918114,node,node-1,node 磁盘写IO消耗
1651920562,pod,adservice-0,k8s容器写io负载
1651922476,node,node-2,node 磁盘空间消耗
1651926867,node,node-4,node 内存消耗
1651928188,node,node-5,node 磁盘读IO消耗
1651929878,node,node-1,node节点CPU故障
1651934221,pod,adservice2-0,k8s容器读io负载
1651936625,service,emailservice,k8s容器网络资源包重复发送
1651880837,service,productcatalogservice,k8s容器网络延迟
1651871475,pod,paymentservice-0,k8s容器网络丢包
1651878362,pod,shippingservice-1,k8s容器网络丢包
1651885771,service,cartservice,k8s容器网络延迟
1651884469,pod,emailservice-1,k8s容器网络丢包
1651932648,pod,emailservice-2,k8s容器网络资源包重复发送
1651919818,service,frontend,k8s容器网络延迟
1651869023,pod,cartservice-0,k8s容器进程中止
1651935446,service,adservice,k8s容器网络延迟
1651870394,pod,productcatalogservice-2,k8s容器网络延迟
1651873932,pod,shippingservice-1,k8s容器网络延迟
1651861952,pod,shippingservice-1,k8s容器网络延迟
1651904895,service,productcatalogservice,k8s容器进程中止
