timestamp,level,cmdb_id,failure_type
1652026980,pod,emailservice-0,k8s容器写io负载
1652027890,pod,emailservice-1,k8s容器读io负载
1652028651,service,checkoutservice,k8s容器cpu负载
1652029802,pod,frontend-2,k8s容器网络丢包
1652031460,service,shippingservice,k8s容器读io负载
1652032391,pod,shippingservice-1,k8s容器cpu负载
1652034858,service,frontend,k8s容器网络丢包
1652035716,node,node-5,node节点CPU故障
1652044466,pod,shippingservice-1,k8s容器cpu负载
1652046023,service,emailservice,k8s容器写io负载
1652047629,service,recommendationservice,k8s容器内存负载
1652049367,service,productcatalogservice,k8s容器网络丢包
1652051200,pod,recommendationservice-2,k8s容器内存负载
1652052222,service,emailservice,k8s容器内存负载
1652053117,node,node-3,node 磁盘空间消耗
1652055279,pod,shippingservice-0,k8s容器网络资源包重复发送
1652056357,node,node-3,node节点CPU故障
1652058023,node,node-1,node 磁盘空间消耗
1652060333,pod,recommendationservice2-0,k8s容器写io负载
1652061480,service,currencyservice,k8s容器cpu负载
1652063842,service,recommendationservice,k8s容器写io负载
1652064977,node,node-4,node 内存消耗
1652066468,service,paymentservice,k8s容器内存负载
1652069584,pod,adservice-1,k8s容器读io负载
1652078717,service,productcatalogservice,k8s容器网络资源包损坏
1652079403,service,checkoutservice,k8s容器网络资源包重复发送
1652080322,service,frontend,k8s容器网络资源包损坏
1652081634,pod,productcatalogservice-2,k8s容器网络资源包重复发送
1652083866,node,node-5,node节点CPU故障
1652087378,node,node-3,node 磁盘写IO消耗
1652088630,pod,frontend-1,k8s容器cpu负载
1652089514,pod,adservice-1,k8s容器读io负载
1652090619,pod,frontend-2,k8s容器网络资源包损坏
1652092703,pod,productcatalogservice-0,k8s容器网络丢包
1652094318,pod,frontend-1,k8s容器内存负载
1652097055,pod,emailservice-2,k8s容器网络丢包
1652098933,service,emailservice,k8s容器网络资源包重复发送
1652099503,service,emailservice,k8s容器写io负载
1652101150,node,node-4,node节点CPU故障
1652102061,pod,cartservice-2,k8s容器网络资源包损坏
1652103411,node,node-2,node节点CPU故障
1652104717,pod,currencyservice-2,k8s容器cpu负载
1652105625,node,node-6,node 磁盘读IO消耗
1652108177,service,productcatalogservice,k8s容器网络资源包损坏
1652110645,pod,recommendationservice-0,k8s容器内存负载
1652077083,service,cartservice,k8s容器网络资源包损坏
1652075078,pod,checkoutservice2-0,k8s容器网络丢包
1652085116,service,shippingservice,k8s容器网络延迟
1652093544,pod,paymentservice-2,k8s容器进程中止
1652072251,service,adservice,k8s容器进程中止
