timestamp,level,cmdb_id,failure_type
1648053565,pod,currencyservice-2,k8s容器cpu负载
1648055039,pod,recommendationservice-0,k8s容器网络资源包损坏
1648056469,service,frontend,k8s容器网络丢包
1648057423,node,node-6,node节点CPU爬升
1648060258,pod,cartservice-1,k8s容器内存负载
1648066515,pod,productcatalogservice-1,k8s容器写io负载
1648067398,node,node-5,node 磁盘写IO消耗
1648069534,node,node-6,node 磁盘空间消耗
1648070982,service,frontend,k8s容器cpu负载
1648072753,pod,frontend-1,k8s容器读io负载
1648073731,pod,adservice-0,k8s容器读io负载
1648074558,node,node-5,node 磁盘读IO消耗
1648076281,pod,emailservice-1,k8s容器写io负载
1648079243,node,node-3,node节点CPU爬升
1648085160,service,emailservice,k8s容器网络资源包损坏
1648087989,pod,recommendationservice-1,k8s容器网络资源包损坏
1648089935,service,frontend,k8s容器cpu负载
1648090905,pod,adservice-1,k8s容器内存负载
1648091853,node,node-6,node 磁盘写IO消耗
1648095288,service,emailservice,k8s容器cpu负载
1648097072,node,node-4,node节点CPU爬升
1648098414,node,node-6,node 磁盘读IO消耗
1648100277,pod,cartservice-1,k8s容器网络丢包
1648101029,node,node-5,node节点CPU故障
1648102759,service,recommendationservice,k8s容器写io负载
1648103596,service,cartservice,k8s容器网络资源包损坏
1648104900,pod,checkoutservice-1,k8s容器cpu负载
1648107137,node,node-3,node节点CPU故障
1648109222,node,node-4,node 内存消耗
1648114196,pod,frontend-2,k8s容器网络丢包
1648115404,service,productcatalogservice,k8s容器网络资源包损坏
1648117550,service,emailservice,k8s容器网络资源包损坏
1648117787,pod,recommendationservice-0,k8s容器读io负载
1648118890,pod,productcatalogservice-1,k8s容器读io负载
1648120654,service,recommendationservice,k8s容器网络丢包
1648121600,service,cartservice,k8s容器网络资源包重复发送
1648124179,service,currencyservice,k8s容器内存负载
1648124782,pod,emailservice-1,k8s容器读io负载
1648126016,pod,frontend-1,k8s容器内存负载
1648127797,pod,adservice2-0,k8s容器内存负载
1648130260,pod,paymentservice-1,k8s容器写io负载
1648131758,pod,currencyservice-1,k8s容器cpu负载
1648133148,node,node-6,node 磁盘写IO消耗
1648133937,pod,emailservice-1,k8s容器网络资源包损坏
1648135362,service,checkoutservice,k8s容器内存负载
1648107896,pod,currencyservice-1,k8s容器网络延迟
1648083024,service,recommendationservice,k8s容器网络延迟
1648111283,service,recommendationservice,k8s容器网络延迟
1648064773,pod,productcatalogservice-1,k8s容器进程中止
1648093711,service,recommendationservice,k8s容器进程中止
